145.83,2.4374
70.498,1.957
133.99,2.2428
125.05,1.6777
93.127,2.3318
108.37,3.2727
120.98,1.5296
127.06,3.0422
100.74,1.2326
86.447,1.4314
260.3,10.48
108.69,5.3271
97.114,2.242
65.612,1.5833
98.477,2.1233
61.882,2.5327
60.334,7.9878
60.759,6.1492
133.76,3.0031
89.528,6.7032
62.595,3.1395
98.158,4.4522
85.726,1.463
89.482,4.2147
93.688,1.5528
101.04,1.4643
66.129,4.0566
78.513,2.1351
104.95,3.9687
104.21,1.8393
127.19,2.2933
101.89,2.5415
101.81,4.7561
84.702,1.5491
78.016,3.3289
87.888,2.9646
79.498,1.896
111.61,3.7376
93.392,2.6279
144.59,3.1209
150.09,5.4578
173.44,2.573
224.14,4.0208
176.42,3.5486
126.51,3.4529
141.1,2.6913
177.82,2.0755
69.103,3.1276
166.63,1.4627
82.403,1.3413
110.67,1.6463
122.03,4.0834
110.64,1.4182
144.3,2.268
132.5,1.831
97.663,4.1418
81.888,1.0524
112.23,2.6743
157.5,2.3226
148.16,1.1709
110.67,2.3303
172.31,1.7226
113.52,1.5031
103.59,2.2996
80.939,1.4486
130.81,1.3047
153.01,2.1241
86.423,2.0241
114.41,3.5932
114.88,1.1669
87.672,11.235
77.1,2.0123
65.162,1.9119
94.139,2.6301
108.95,3.6828
82.153,6.87
71.448,1.9163
58.12,4.6293
111.92,5.0534
80.996,1.7163
82.543,1.332
126.65,1.9432
97.98,1.8167
76.115,1.1026
74.315,1.3466
93.043,1.6603
124.39,1.5349
74.557,1.6453
96.215,4.3455
63.696,3.1968
64.745,3.0935
78.932,2.1548
121.04,11.759
92.806,1.2177
84.292,1.8119
74.083,1.7662
78.178,1.3242
99.384,3.0338
96.175,1.2601
107.4,4.3055
125.14,2.5165
77.507,2.5012
119.38,2.7551
59.113,3.422
93.519,1.6114
144.61,1.5719
133.89,4.3189
116.2,5.2521
93.72,1.7926
93.883,2.2378
80.778,8.2872
85.037,2.4835
99.016,1.818
115.16,1.7342
63.143,1.3431
124.69,3.4253
94.547,1.4434
25.477,2.552
59.218,1.4566
105.48,3.0386
72.934,2.5167
57.21,2.8109
91.112,1.4695
77.096,4.18
98.636,8.7552
117,2.4688
50.672,1.3663
58.641,1.8752
124.73,2.1113
49.815,3.8679
61.16,4.055
67.447,7.0968
73.182,4.2135
67.297,1.0671
41.993,1.9721
95.435,8.1703
49.628,1.9291
58.058,2.5025
126.01,2.7309
136.78,7.7959
93.893,1.3255
81.942,1.7553
90.452,2.4615
99.655,4.2127
81.11,2.1718
70.642,1.5461
93.414,2.8373
156.1,2.852
121.24,1.6188
80.224,1.9026
90.162,3.8408
66.536,1.7468
72.572,1.2936
72.408,3.4029
80.845,1.7455
162.33,2.2746
91.862,1.4307
54.013,1.0788
98.755,3.0867
92.248,2.6302
71.238,1.9261
108.94,1.866
77.021,1.4534
112.8,1.4363
118.08,3.9271
111.08,5.517
81.508,3.4269
102.52,3.2187
95.173,1.78
115.95,2.3943
100.39,1.4104
90.098,2.384
74.506,2.2854
116.22,2.5851
98.159,1.5238
71.616,2.8515
84.201,2.2013
80.804,2.5249
73.447,1.5974
59.425,2.4525
103.93,6.6012
73.742,2.2242
78.83,5.1611
110.93,1.7183
75.818,1.9357
98.127,1.6476
65.452,1.9927
112.85,3.4388
113.16,2.4213
77.431,3.6604
111.79,1.0479
156.7,5.2356
54.773,4.1978
91.481,2.115
73.875,2.4161
87.802,4.9522
120.99,1.3805
97.414,4.1682
66.575,2.5341
72.923,2.0196
94.635,5.487
112.36,3.5757
86.41,2.7313
104.26,3.2059
101.82,2.4204
114.64,7.5908
70.909,1.297
90.512,1.9853
112.2,9.3642
139.42,1.3935
90.202,2.0234
66.361,1.3677
118.5,2.7052
182.72,2.9807
102.38,2.38
130.05,1.3934
135.05,1.568
99.077,2.2868
63.941,1.9328
118.95,1.0845
88.119,1.5135
88.502,1.9696
71.455,2.0476
90.226,1.6407
106.35,2.2802
97.889,3.3515
76.913,2.1548
113.6,2.6585
144.92,3.0762
112.2,2.1766
105.71,2.6373
93.829,4.303
68.418,2.4894
110.89,3.1179
79.744,5.9973
116.49,3.4775
113.26,2.3291
89.034,1.4696
69.006,1.5655
116.42,3.1927
163.32,1.3235
122,2.3126
118.17,1.9399
121.79,3.7991
60.34,3.2359
109.58,1.5467
92.104,4.5825
83.163,1.6398
82.654,4.4105
85.897,2.4505
100.47,1.953
80.599,4.3847
117.79,3.1502
60.724,1.7135
85.611,1.3493
121.23,2.2047
155.68,2.5536
99.52,2.7429
106.12,2.3583
29.691,6.4965
148.4,1.2493
77.117,2.3969
167.07,1.4005
128.96,1.3119
65.447,1.5953
99.053,1.3355
136.75,2.9812
126.95,1.7911
146.19,2.4637
140.25,1.6707
123.32,1.0608
121.29,4.632
147.32,1.6828
93.012,2.4672
136.03,2.0558
149.64,4.1499
88.437,1.1589
65.438,2.5003
66.623,1.2268
85.517,11.425
110.64,3.0525
80.485,1.8338
112.46,3.1129
105.94,1.4336
102.64,2.1823
89.609,5.7719
113.18,2.8606
